date	dwell-time
2015-06-06	57
2015-06-06	5
2015-06-06	272
2015-06-06	57
2015-06-06	265
2015-06-06	8
2015-06-06	301
2015-06-06	42
2015-06-06	83
2015-06-06	36
2015-06-06	64
2015-06-06	3
2015-06-06	18
2015-06-06	504
2015-06-06	76
2015-06-06	25
2015-06-06	74
2015-06-06	40
2015-06-06	73
2015-06-06	87
2015-06-06	35
2015-06-06	58
2015-06-06	59
2015-06-06	200
2015-06-06	153
2015-06-06	120
2015-06-06	126
2015-06-06	47
2015-06-06	1
2015-06-06	613
2015-06-06	334
2015-06-06	64
2015-06-06	15
2015-06-06	188
2015-06-06	258
2015-06-06	231
2015-06-06	32
2015-06-06	48
2015-06-06	65
2015-06-06	52
2015-06-06	535
2015-06-06	135
2015-06-06	106
2015-06-06	113
2015-06-06	380
2015-06-06	50
2015-06-06	42
2015-06-06	23
2015-06-06	18
2015-06-06	157
2015-06-06	38
2015-06-06	263
2015-06-06	370
2015-06-06	75
2015-06-06	4
2015-06-06	79
2015-06-06	57
2015-06-06	104
2015-06-06	129
2015-06-06	289
2015-06-06	49
2015-06-06	204
2015-06-06	59
2015-06-06	76
2015-06-06	86
2015-06-06	17
2015-06-06	84
2015-06-06	311
2015-06-06	323
2015-06-06	104
2015-06-06	135
2015-06-06	20
2015-06-06	29
2015-06-06	168
2015-06-06	250
2015-06-06	78
2015-06-06	97
2015-06-06	51
2015-06-06	89
2015-06-06	91
2015-06-06	176
2015-06-06	84
2015-06-06	78
2015-06-06	43
2015-06-06	81
2015-06-06	88
2015-06-06	170
2015-06-06	168
2015-06-06	78
2015-06-06	447
2015-06-06	77
2015-06-06	845
2015-06-06	196
2015-06-06	72
2015-06-06	34
2015-06-06	39
2015-06-06	122
2015-06-06	77
2015-06-06	72
2015-06-06	47
2015-06-06	86
2015-06-06	45
2015-06-06	92
2015-06-06	2
2015-06-06	236
2015-06-06	115
2015-06-06	255
2015-06-06	67
2015-06-06	70
2015-06-06	55
2015-06-06	108
2015-06-06	38
2015-06-06	121
2015-06-06	177
2015-06-06	250
2015-06-06	80
2015-06-06	2
2015-06-06	10
2015-06-06	101
2015-06-06	89
2015-06-06	183
2015-06-06	163
2015-06-06	11
2015-06-06	38
2015-06-06	7
2015-06-06	6
2015-06-06	39
2015-06-06	30
2015-06-06	413
2015-06-06	304
2015-06-06	169
2015-06-06	173
2015-06-06	21
2015-06-06	193
2015-06-06	9
2015-06-06	5
2015-06-06	15
2015-06-06	84
2015-06-06	3
2015-06-06	19
2015-06-06	9
2015-06-06	58
2015-06-06	16
2015-06-06	56
2015-06-06	586
2015-06-06	378
2015-06-06	21
2015-06-06	98
2015-06-06	63
2015-06-06	227
2015-06-06	110
2015-06-06	14
2015-06-06	213
2015-06-06	123
2015-06-06	95
2015-06-06	46
2015-06-06	49
2015-06-06	6
2015-06-06	217
2015-06-06	99
2015-06-06	121
2015-06-06	108
2015-06-06	21
2015-06-06	98
2015-06-06	85
2015-06-06	8
2015-06-06	128
2015-06-06	89
2015-06-06	75
2015-06-06	72
2015-06-06	64
2015-06-06	361
2015-06-06	44
2015-06-06	416
2015-06-06	60
2015-06-06	323
2015-06-06	21
2015-06-06	253
2015-06-06	423
2015-06-06	238
2015-06-06	241
2015-06-06	138
2015-06-06	225
2015-06-06	49
2015-06-06	37
2015-06-06	287
2015-06-06	2
2015-06-06	146
2015-06-06	181
2015-06-06	36
2015-06-06	12
2015-06-06	28
2015-06-06	147
2015-06-06	175
2015-06-06	38
2015-06-06	216
2015-06-06	70
2015-06-06	34
2015-06-06	445
2015-06-06	87
2015-06-06	379
2015-06-06	407
2015-06-06	71
2015-06-06	215
2015-06-06	7
2015-06-06	73
2015-06-06	26
2015-06-06	57
2015-06-06	176
2015-06-06	25
2015-06-06	15
2015-06-06	86
2015-06-06	22
2015-06-06	250
2015-06-06	153
2015-06-06	25
2015-06-06	203
2015-06-06	117
2015-06-06	4
2015-06-06	35
2015-06-06	15
2015-06-06	129
2015-06-06	475
2015-06-06	215
2015-06-06	6
2015-06-06	51
2015-06-06	127
2015-06-06	61
2015-06-06	60
2015-06-06	23
2015-06-06	119
2015-06-06	94
2015-06-06	57
2015-06-06	273
2015-06-06	286
2015-06-06	155
2015-06-06	227
2015-06-06	154
2015-06-06	118
2015-06-06	55
2015-06-06	22
2015-06-06	22
2015-06-06	94
2015-06-06	85
2015-06-06	49
2015-06-06	19
2015-06-06	156
2015-06-06	683
2015-06-06	142
2015-06-06	387
2015-06-06	28
2015-06-06	9
2015-06-06	4
2015-06-06	78
2015-06-06	16
2015-06-06	311
2015-06-06	165
2015-06-06	86
2015-06-06	62
2015-06-06	127
2015-06-06	22
2015-06-06	4
2015-06-06	30
2015-06-06	83
2015-06-06	138
2015-06-06	23
2015-06-06	132
2015-06-06	121
2015-06-06	32
2015-06-06	107
2015-06-06	120
2015-06-06	192
2015-06-06	128
2015-06-06	138
2015-06-06	75
2015-06-06	226
2015-06-06	301
2015-06-06	160
2015-06-06	54
2015-06-06	53
2015-06-06	62
2015-06-06	16
2015-06-06	408
2015-06-06	421
2015-06-06	109
2015-06-06	110
2015-06-06	37
2015-06-06	35
2015-06-06	250
2015-06-06	25
2015-06-06	68
2015-06-06	17
2015-06-06	4
2015-06-06	682
2015-06-06	303
2015-06-06	166
2015-06-06	491
2015-06-06	119
2015-06-06	357
2015-06-06	615
