date	dwell-time
2015-01-01T00:03:43Z	74
2015-01-01T00:32:12Z	109
2015-01-01T01:52:18Z	88
2015-01-01T01:54:30Z	17
2015-01-01T02:09:24Z	11
2015-01-01T02:16:00Z	170
2015-01-01T02:27:48Z	149
2015-01-01T03:25:32Z	193
2015-01-01T03:35:29Z	26
2015-01-01T03:42:30Z	39
2015-01-01T03:43:19Z	20
2015-01-01T03:51:12Z	43
2015-01-01T04:11:35Z	212
2015-01-01T04:16:51Z	74
2015-01-01T04:17:34Z	4
2015-01-01T04:30:52Z	67
2015-01-01T05:23:13Z	114
2015-01-01T05:33:59Z	205
2015-01-01T05:42:03Z	85
2015-01-01T05:45:56Z	30
2015-01-01T06:03:17Z	81
2015-01-01T06:21:08Z	109
2015-01-01T06:25:29Z	270
2015-01-01T06:39:20Z	1
2015-01-01T06:39:37Z	158
2015-01-01T06:41:45Z	11
2015-01-01T06:49:33Z	130
2015-01-01T06:52:31Z	3
2015-01-01T07:30:04Z	140
2015-01-01T07:32:50Z	72
2015-01-01T07:38:39Z	206
2015-01-01T07:47:15Z	2
2015-01-01T07:50:00Z	24
2015-01-01T07:57:48Z	30
2015-01-01T07:58:56Z	361
2015-01-01T08:02:46Z	106
2015-01-01T08:17:22Z	12
2015-01-01T08:19:20Z	13
2015-01-01T08:29:12Z	92
2015-01-01T08:31:32Z	164
2015-01-01T08:31:54Z	37
2015-01-01T08:36:57Z	117
2015-01-01T08:40:25Z	149
2015-01-01T09:03:14Z	12
2015-01-01T09:07:45Z	81
2015-01-01T09:09:28Z	40
2015-01-01T09:17:56Z	219
2015-01-01T09:18:05Z	29
2015-01-01T09:21:08Z	37
2015-01-01T09:25:33Z	24
2015-01-01T09:26:07Z	29
2015-01-01T09:26:16Z	63
2015-01-01T09:31:20Z	34
2015-01-01T09:31:54Z	57
2015-01-01T09:33:14Z	5
2015-01-01T09:39:53Z	107
2015-01-01T09:47:16Z	3
2015-01-01T09:54:33Z	13
2015-01-01T09:56:58Z	145
2015-01-01T09:57:57Z	46
2015-01-01T10:01:04Z	56
2015-01-01T10:14:23Z	158
2015-01-01T10:20:28Z	197
2015-01-01T10:22:04Z	425
2015-01-01T10:24:46Z	117
2015-01-01T10:25:06Z	2
2015-01-01T10:26:29Z	92
