site	dwell-time
13	28
6	33
17	81
1	67
16	87
2	56
2	72
6	297
13	2
1	94
5	210
4	49
8	152
2	31
5	146
10	226
9	152
1	7
12	17
10	105
10	92
2	116
8	23
10	61
0	9
7	170
1	135
4	230
14	85
17	26
1	12
7	18
4	119
12	2
12	159
18	221
6	19
4	49
13	82
11	177
0	102
17	164
13	116
5	43
19	485
0	51
17	96
10	89
16	22
2	87
6	69
7	153
3	50
6	78
3	34
2	72
10	40
13	169
12	124
6	22
6	238
2	65
14	4
9	40
19	363
6	5
15	46
17	5
9	36
18	229
4	3
11	81
18	28
15	86
10	29
8	28
2	5
16	27
10	300
1	139
16	42
4	21
6	63
7	309
10	65
11	291
15	73
3	107
16	196
1	102
14	81
13	21
9	43
5	98
9	26
0	36
1	186
6	13
11	75
13	67
17	208
9	29
17	161
18	21
17	1
2	48
0	259
1	15
14	31
7	45
15	35
3	111
17	338
12	38
6	328
0	38
15	269
10	26
14	26
10	84
11	40
13	23
10	73
3	140
18	36
6	193
6	475
8	382
5	199
12	214
10	140
16	27
2	108
14	141
16	182
5	88
6	138
12	125
19	97
9	8
11	136
9	48
5	34
8	103
19	20
15	124
0	6
15	58
6	172
18	206
10	204
18	23
14	26
15	96
8	2
1	23
13	52
14	136
15	144
18	20
4	151
14	54
14	60
2	101
17	56
17	25
17	42
2	488
6	48
8	190
8	139
2	10
12	253
15	62
15	228
13	14
16	302
12	54
6	14
13	130
8	22
3	70
11	1
11	301
13	170
7	84
8	13
14	34
4	105
0	75
14	10
4	295
18	98
15	12
3	18
5	103
18	21
10	153
8	2
3	20
13	79
10	88
19	120
8	75
5	145
15	34
11	16
9	195
11	18
7	342
3	41
18	32
1	206
13	29
18	177
19	58
7	136
16	28
14	14
6	247
19	127
10	8
4	48
8	75
8	138
12	44
17	32
13	63
0	264
14	77
3	179
6	642
0	37
16	276
13	99
12	112
19	142
5	34
19	59
7	13
13	420
2	31
18	10
3	103
3	56
4	29
6	37
13	132
13	221
13	143
15	120
18	37
0	5
5	73
19	109
0	26
17	49
10	221
6	106
9	309
6	138
12	90
14	3
13	194
13	201
16	102
2	28
18	200
19	109
12	31
7	36
17	31
19	25
3	36
4	196
4	48
19	20
6	46
0	11
16	62
3	34
18	75
7	395
16	335
2	41
0	146
6	472
0	203
11	33
8	48
9	270
19	329
14	157
6	9
18	82
4	60
4	57
6	51
14	17
0	168
9	19
16	48
0	3
16	187
0	189
0	204
13	207
0	39
9	65
8	58
18	23
9	7
0	48
5	105
3	133
19	16
15	33
19	170
12	77
18	189
15	110
10	228
6	85
7	66
15	130
11	45
12	13
3	142
13	23
9	30
5	4
13	14
18	116
8	43
12	37
7	48
16	17
6	136
19	195
2	44
13	206
15	99
18	259
8	6
2	26
18	105
6	107
16	18
16	27
3	51
12	78
2	182
4	289
16	623
12	11
5	19
12	180
5	116
18	102
16	11
12	155
16	41
16	26
10	92
12	56
