site	dwell-time
0	2
0	48
0	15
0	16
0	38
0	169
0	571
0	38
0	233
0	146
0	336
0	57
0	54
0	75
1	55
0	138
0	2
0	6
0	30
0	32
0	21
0	369
0	76
1	162
0	23
0	190
0	107
0	30
0	145
0	25
0	233
0	32
0	7
0	97
0	21
0	79
0	86
0	78
0	23
0	13
0	244
0	68
0	34
1	85
0	112
0	298
0	72
0	6
0	44
0	53
0	11
0	80
0	140
0	29
0	5
0	19
0	24
0	22
0	192
0	18
0	110
0	40
0	404
0	30
0	43
0	129
0	7
0	227
0	138
0	185
0	16
0	145
0	9
0	48
0	158
0	79
0	35
0	73
0	13
0	80
0	2
0	289
0	34
0	28
0	5
0	1
0	92
0	67
1	25
0	149
0	232
0	92
0	19
0	57
0	67
0	6
0	34
0	18
0	43
0	6
0	68
0	131
0	50
0	128
0	131
0	123
0	136
0	10
0	28
0	213
0	57
0	170
0	115
0	66
0	47
0	112
0	37
0	48
0	14
0	46
0	72
0	69
0	16
0	140
0	114
0	63
0	536
0	91
0	222
0	15
0	28
0	31
0	22
1	46
0	11
0	24
0	41
0	8
0	57
0	55
1	259
0	63
0	107
0	50
0	540
0	34
0	51
1	113
0	6
0	489
0	147
0	154
0	29
0	49
0	134
0	12
0	41
1	91
0	83
0	196
0	30
0	121
0	27
0	725
0	50
0	74
0	75
0	66
0	13
0	38
0	74
0	109
0	132
0	37
0	41
0	66
0	47
0	3
0	3
0	35
0	8
0	22
0	36
0	241
0	6
0	120
1	300
0	3
0	23
0	53
0	155
0	40
0	46
0	21
0	75
0	70
0	49
0	140
0	140
0	18
0	1
0	67
0	52
0	62
0	44
0	4
0	82
0	61
0	107
0	12
0	55
0	116
0	4
1	85
0	127
0	17
0	147
0	19
0	3
0	268
0	29
0	23
0	117
0	26
0	70
0	53
0	12
0	137
0	3
0	113
0	172
1	200
0	174
0	135
0	133
0	45
0	117
0	103
0	16
1	12
0	5
0	105
0	66
0	277
0	156
0	285
0	64
0	8
0	60
0	70
0	30
0	95
0	22
0	68
0	7
0	8
0	19
0	5
0	27
0	60
0	122
1	83
0	46
0	61
0	148
0	11
0	149
1	186
0	110
0	17
0	51
0	107
0	33
1	106
0	72
0	148
0	153
0	366
0	43
0	238
0	100
0	187
0	11
0	70
0	155
0	5
0	470
0	28
0	388
0	197
0	3
0	100
0	25
0	2
0	39
0	22
0	7
1	144
0	89
0	138
