ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Lamusi A	People's Republic of China	23	170	60	М	06 02 1989	NEIMONGGOL (CHN)	0	0	0	0	Judo	Men's -60kg
A G Kruger	United States of America	33	193	125	М	2 18 1979	Sheldon (USA)	0	0	0	0	Athletics	Men's Hammer Throw
Jamale Aarrass	France	30	187	76	М	11 15 1981	BEZONS (FRA)	0	0	0	0	Athletics	Men's 1500m
Abdelhak Aatakni	Morocco	24			М	02 09 1988	AIN SEBAA (MAR)	0	0	0	0	Boxing	Men's Light Welter (64kg)
Maria Abakumova	Russian Federation	26	178	85	Ж	1 15 1986	STAVROPOL REGION (RUS)	0	0	0	0	Athletics	Women's Javelin Throw
Luc Abalo	France	27	182	80	М	09 06 1984		0	0	0	0	Handball	Men's Handball
Maria Laura Abalo	Argentina	30	182	73	Ж	8 17 1981		0	0	0	0	Rowing	Women's Pair
Mohamed Abarhoun	Morocco	23	187	75	М	05 03 1989		0	0	0	0	Football	Men's Football
Emanuele Abate	Italy	27	190	80	М	07 08 1985	Genova (ITA)	0	0	0	0	Athletics	Men's 110m Hurdles
Ilyas Abbadi	Algeria	19	170		М	10 21 1992	MEDEA (ALG)	0	0	0	0	Boxing	Men's Welter (69kg)
Sohail Abbas	Pakistan	37			М	06 09 1975		0	0	0	0	Hockey	Men's Hockey
Shakeel Abbasi	Pakistan	28			М	01 05 1984		0	0	0	0	Hockey	Men's Hockey
Soulmaz Abbasiazad	Islamic Republic of Iran	28	173	60	Ж	1 19 1984		0	0	0	0	Rowing	Women's Single Sculls
Simona Abbate	Italy	28	171	64	Ж	8 22 1983	FONDI (ITA)	0	0	0	0	Water Polo	Women's Water Polo
Ahmed Abd Elgaber	Egypt	22	171	62	М	7 30 1990		0	0	0	0	Football	Men's Football
Reem Abdalazem	Egypt	19	167		Ж	11 25 1992	GIZA (EGY)	0	0	0	0	Synchronised Swimming	Women's Teams
Mohamed Fawzi Abdalla	United Arab Emirates	22	175	63	М	2 22 1990		0	0	0	0	Football	Men's Football
Mohamed Abdel Baki	Egypt	25	162	69	М	7 18 1987	FAYOUM	0	0	0	0	Weightlifting	Men's 69kg
Hesham Abdelaal	Egypt	18	167		М	09 05 1993	ELDAKAHLIA (EGY)	0	0	0	0	Boxing	Men's Fly (52kg)
Tarek Abdelazim	Egypt	25	175	85	М	5 18 1987	ELMENIA	0	0	0	0	Weightlifting	Men's 85kg
Shaza Abdelrahman	Egypt	19	170		Ж	12 23 1992	Cairo (EGY)	0	0	0	0	Synchronised Swimming	Women's Duets, Women's Teams
Mouni Abderrahim	Algeria	26	171	60	Ж	11 19 1985		0	0	0	0	Volleyball	Women's Volleyball
Youcef Abdi	Australia	34	177	66	М	12 07 1977	AZAZGA (ALG)	0	0	0	0	Athletics	Men's 3000m Steeplechase
Abdihakem Abdirahman	United States of America	35	180	61	М	01 01 1977	HARGISA (SOM)	0	0	0	0	Athletics	Men's Marathon
Moustapha Abdoulaye Hima	Niger	20	183		М	01 01 1992		0	0	0	0	Boxing	Men's Welter (69kg)
Dana Abdul Razak	Iraq	26	165	55	Ж	01 03 1986	BAGHDAD (IRQ)	0	0	0	0	Athletics	Women's 100m
Magomed Abdulhamidov	Azerbaijan	25	167		М	11 16 1986		0	0	0	0	Boxing	Men's Bantam (56kg)
Muminjon Abdullaev	Uzbekistan	22			М	12 24 1989	SAMARKAND REGION (UZB)	0	0	0	0	Wrestling	Men's 120kg Greco-Roman
Layes Abdullayeva	Azerbaijan	21	170	47	Ж	5 29 1991	Addis Ababa (ETH)	0	0	0	0	Athletics	Women's 5000m
Rasul Abduraim	Kyrgyzstan	23	180		М	12 12 1988	Bishkek (KGZ)	0	0	0	0	Taekwondo	Men's -80kg
Yusup Abdusalomov	Tajikistan	34	173	84	М	11 08 1977	MAKHACHKALA (RUS)	0	0	0	0	Wrestling	Men's 84kg Freestyle
Saeid Morad Abdvali	Islamic Republic of Iran	22	170	66	М	11 04 1989	ANDIMESHK (IRI)	0	0	0	0	Wrestling	Men's 66kg Greco-Roman
Mojtaba Abedini	Islamic Republic of Iran	27	179	82	М	08 11 1984		0	0	0	0	Fencing	Men's Individual Sabre
Jennifer Abel	Canada	20	160	62	Ж	8 23 1991	Montreal (CAN)	0	0	1	1	Diving	Women's 3m Springboard, Women's Synchronised 3m Springboard
Yaritza Abel Rojas	Cuba	28		62	Ж	8 26 1983	Santiago de Cuba	0	0	0	0	Judo	Women's -63kg
Pablo Abian	Spain	27	177	78	М	06 12 1985	CALATAYUD	0	0	0	0	Badminton	Men's Singles
Tomomi Abiko	Japan	24	173	53	Ж	3 17 1988	KUSATSU (JPN)	0	0	0	0	Athletics	Women's Pole Vault
Camille Abily	France	27	168	60	Ж	12 05 1984		0	0	0	0	Football	Women's Football
Endurance Abinuwa	Nigeria	25	159	54	Ж	7 31 1987	Sapele (NGR)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Khalil Mahmoud K Abir Abdelrahman	Egypt	20	162	75	Ж	6 13 1992	Alexandria	0	0	0	0	Weightlifting	Women's 75kg
Denis Ablyazin	Russian Federation	20	161		М	08 03 1992	Penza (RUS)	0	0	0	0	Gymnastics - Artistic	Men's Team, Men's Qualification
Bukola Abogunloko	Nigeria	17	170	53	Ж	8 18 1994	IJERO	0	0	0	0	Athletics	Women's 4 x 400m Relay
Aminata Aboubakar Yacoub	Congo	23	166	68	Ж	6 22 1989	EPENA (CGO)	0	0	0	0	Swimming	Women's 50m Freestyle
Rabah Aboud	Algeria	31	180	64	М	01 01 1981	TISSEMSILT (ALG)	0	0	0	0	Athletics	Men's 5000m
Gabrielle Aboudi Onguene	Cameroon	23	152	58	Ж	2 25 1989		0	0	0	0	Football	Women's Football
Alaaeldin Abouelkassem	Egypt	21	188	82	М	11 25 1990		0	1	0	1	Fencing	Men's Individual Foil, Men's Team Foil
Abouhalima Abouhalima	Egypt	18	153	55	М	11 19 1993	ALEX (EGY)	0	0	0	0	Wrestling	Men's 55kg Greco-Roman
Mohamed Aboutrika	Egypt	33	182	77	М	11 07 1978		0	0	0	0	Football	Men's Football
Arnaldo Abrantes	Portugal	25	184	78	М	11 27 1986	ALMADA (POR)	0	0	0	0	Athletics	Men's 200m
Amir Abrashi	Switzerland	22	172	70	М	3 27 1990		0	0	0	0	Football	Men's Football
Erika Abril	Colombia	34	158	47	Ж	3 29 1978	SAN JOSE DE PARE (COL)	0	0	0	0	Athletics	Women's Marathon
Laura Valentina Abril Restrepo	Colombia	22	162	50	Ж	1 28 1990	LA CUMBRE (COL)	0	0	0	0	Cycling - Mountain Bike	Women's Cross-country
Julien Absalon	France	31	180	68	М	8 16 1980	Remiremont (FRA)	0	0	0	0	Cycling - Mountain Bike	Men's Cross-country
Ayele Abshero	Ethiopia	21	168	62	М	12 28 1990	YEBOBA (ETH)	0	0	0	0	Athletics	Men's Marathon
Methkal Abu Drais	Jordan	28	168	62	М	12 29 1983	ALARDAH (JOR)	0	0	0	0	Athletics	Men's Marathon
Maher Abu Rmilah	Palestine	28	172	72	М	8 24 1983	Jerusalem (PLE)	0	0	0	0	Judo	Men's -73kg
Mohammad Abulibdeh	Jordan	28	183		М	10 22 1983	Amman (JOR)	0	0	0	0	Taekwondo	Men's -68kg
Kanat Abutalipov	Kazakhstan	29	168		М	3 22 1983	Astana (KAZ)	0	0	0	0	Boxing	Men's Bantam (56kg)
Irina Abysova	Russian Federation	31	175	58	Ж	11 07 1980	Moscow (RUS)	0	0	0	0	Triathlon	Women's Triathlon
